Zafra,grupo,LOTE_N,CATEGORIA,NDVI,
2022/2023,"(0,30]",120105,BAJA RESPUESTA,0.237803285,
2022/2023,"(0,30]",150103,BAJA RESPUESTA,0.289024377,
2022/2023,"(0,30]",150104,BAJA RESPUESTA,0.288881625,
2022/2023,"(0,30]",150203,ALTA RESPUESTA,0.335136886,
2022/2023,"(0,30]",150203,BAJA RESPUESTA,0.321099789,
2022/2023,"(0,30]",150204,ALTA RESPUESTA,0.316690644,
2022/2023,"(0,30]",150204,BAJA RESPUESTA,0.332225009,
2022/2023,"(0,30]",150401,ALTA RESPUESTA,0.386252466,
2022/2023,"(0,30]",150401,BAJA RESPUESTA,0.373803964,
2022/2023,"(0,30]",620101,ALTA RESPUESTA,0.330374435,
2022/2023,"(0,30]",620101,BAJA RESPUESTA,0.304052543,
2022/2023,"(0,30]",620103,ALTA RESPUESTA,0.342913347,
2022/2023,"(0,30]",620103,BAJA RESPUESTA,0.307940948,
2022/2023,"(0,30]",620202,BAJA RESPUESTA,0.302676191,
2022/2023,"(0,30]",3360103,ALTA RESPUESTA,0.281503864,
2022/2023,"(0,30]",3360103,BAJA RESPUESTA,0.262230099,
2022/2023,"(120,150]",120101,BAJA RESPUESTA,0.762949826,
2022/2023,"(120,150]",120102,BAJA RESPUESTA,0.769335179,
2022/2023,"(120,150]",120103,BAJA RESPUESTA,0.749973295,
2022/2023,"(120,150]",300101,ALTA RESPUESTA,0.643030536,
2022/2023,"(120,150]",300101,BAJA RESPUESTA,0.584082809,
2022/2023,"(120,150]",300102,ALTA RESPUESTA,0.701143381,
2022/2023,"(120,150]",300103,ALTA RESPUESTA,0.715302224,
2022/2023,"(120,150]",300103,BAJA RESPUESTA,0.681814952,
2022/2023,"(120,150]",300104,ALTA RESPUESTA,0.749686328,
2022/2023,"(120,150]",300104,BAJA RESPUESTA,0.712827813,
2022/2023,"(120,150]",300105,ALTA RESPUESTA,0.58708255,
2022/2023,"(120,150]",300105,BAJA RESPUESTA,0.622465645,
2022/2023,"(120,150]",300106,ALTA RESPUESTA,0.542637423,
2022/2023,"(120,150]",300106,BAJA RESPUESTA,0.635297387,
2022/2023,"(120,150]",300107,ALTA RESPUESTA,0.65266353,
2022/2023,"(120,150]",300107,BAJA RESPUESTA,0.593685713,
2022/2023,"(120,150]",300108,ALTA RESPUESTA,0.695788955,
2022/2023,"(120,150]",300108,BAJA RESPUESTA,0.709850822,
2022/2023,"(120,150]",300109,ALTA RESPUESTA,0.663002984,
2022/2023,"(120,150]",300110,ALTA RESPUESTA,0.719942085,
2022/2023,"(120,150]",300110,BAJA RESPUESTA,0.724173094,
2022/2023,"(120,150]",300111,ALTA RESPUESTA,0.695581432,
2022/2023,"(120,150]",300112,ALTA RESPUESTA,0.705138485,
2022/2023,"(120,150]",300112,BAJA RESPUESTA,0.660479023,
2022/2023,"(120,150]",300113,ALTA RESPUESTA,0.639474082,
2022/2023,"(120,150]",300113,BAJA RESPUESTA,0.720541294,
2022/2023,"(120,150]",300301,ALTA RESPUESTA,0.678477662,
2022/2023,"(120,150]",300301,BAJA RESPUESTA,0.689267027,
2022/2023,"(120,150]",300302,ALTA RESPUESTA,0.667554633,
2022/2023,"(120,150]",300303,ALTA RESPUESTA,0.682729461,
2022/2023,"(120,150]",300303,BAJA RESPUESTA,0.729154713,
2022/2023,"(120,150]",300305,ALTA RESPUESTA,0.606730112,
2022/2023,"(120,150]",300305,BAJA RESPUESTA,0.614202148,
2022/2023,"(120,150]",300306,ALTA RESPUESTA,0.748595059,
2022/2023,"(120,150]",300306,BAJA RESPUESTA,0.811495347,
2022/2023,"(120,150]",300310,ALTA RESPUESTA,0.546127876,
2022/2023,"(120,150]",300310,BAJA RESPUESTA,0.558736512,
2022/2023,"(120,150]",3360101,ALTA RESPUESTA,0.763276181,
2022/2023,"(120,150]",3360101,BAJA RESPUESTA,0.740376422,
2022/2023,"(120,150]",3360102,ALTA RESPUESTA,0.722698483,
2022/2023,"(120,150]",3360102,BAJA RESPUESTA,0.759358361,
2022/2023,"(120,150]",3360103,ALTA RESPUESTA,0.702035037,
2022/2023,"(120,150]",3360103,BAJA RESPUESTA,0.702804789,
2022/2023,"(120,150]",3360104,ALTA RESPUESTA,0.724707872,
2022/2023,"(120,150]",3360104,BAJA RESPUESTA,0.727459967,
2022/2023,"(30,60]",120101,BAJA RESPUESTA,0.635984443,
2022/2023,"(30,60]",120102,BAJA RESPUESTA,0.527814762,
2022/2023,"(30,60]",120103,BAJA RESPUESTA,0.477503841,
2022/2023,"(30,60]",120105,BAJA RESPUESTA,0.389451958,
2022/2023,"(30,60]",120106,BAJA RESPUESTA,0.418135357,
2022/2023,"(30,60]",120110,BAJA RESPUESTA,0.546506063,
2022/2023,"(30,60]",120113,BAJA RESPUESTA,0.481412845,
2022/2023,"(30,60]",150101,ALTA RESPUESTA,0.441194667,
2022/2023,"(30,60]",150101,BAJA RESPUESTA,0.478862016,
2022/2023,"(30,60]",150102,ALTA RESPUESTA,0.430459874,
2022/2023,"(30,60]",150102,BAJA RESPUESTA,0.441683136,
2022/2023,"(30,60]",150103,BAJA RESPUESTA,0.384889636,
2022/2023,"(30,60]",150104,BAJA RESPUESTA,0.433387516,
2022/2023,"(30,60]",150201,ALTA RESPUESTA,0.396010844,
2022/2023,"(30,60]",150201,BAJA RESPUESTA,0.417819611,
2022/2023,"(30,60]",150202,ALTA RESPUESTA,0.39901756,
2022/2023,"(30,60]",150202,BAJA RESPUESTA,0.407194995,
2022/2023,"(30,60]",150203,ALTA RESPUESTA,0.461432779,
2022/2023,"(30,60]",150203,BAJA RESPUESTA,0.452085214,
2022/2023,"(30,60]",150204,ALTA RESPUESTA,0.457931499,
2022/2023,"(30,60]",150204,BAJA RESPUESTA,0.470968437,
2022/2023,"(30,60]",150401,ALTA RESPUESTA,0.334330283,
2022/2023,"(30,60]",150401,BAJA RESPUESTA,0.359698527,
2022/2023,"(30,60]",300108,ALTA RESPUESTA,0.525540935,
2022/2023,"(30,60]",300108,BAJA RESPUESTA,0.439387392,
2022/2023,"(30,60]",300111,ALTA RESPUESTA,0.465725958,
2022/2023,"(30,60]",300112,ALTA RESPUESTA,0.464703919,
2022/2023,"(30,60]",300112,BAJA RESPUESTA,0.370905415,
2022/2023,"(30,60]",300301,ALTA RESPUESTA,0.420256324,
2022/2023,"(30,60]",300301,BAJA RESPUESTA,0.477362245,
2022/2023,"(30,60]",300302,ALTA RESPUESTA,0.483058293,
2022/2023,"(30,60]",300303,ALTA RESPUESTA,0.548124018,
2022/2023,"(30,60]",300303,BAJA RESPUESTA,0.495748994,
2022/2023,"(30,60]",300305,ALTA RESPUESTA,0.458599959,
2022/2023,"(30,60]",300305,BAJA RESPUESTA,0.438185887,
2022/2023,"(30,60]",300306,ALTA RESPUESTA,0.483615627,
2022/2023,"(30,60]",300306,BAJA RESPUESTA,0.494313327,
2022/2023,"(30,60]",300310,ALTA RESPUESTA,0.498474586,
2022/2023,"(30,60]",300310,BAJA RESPUESTA,0.443148564,
2022/2023,"(30,60]",620101,ALTA RESPUESTA,0.425242947,
2022/2023,"(30,60]",620101,BAJA RESPUESTA,0.444115806,
2022/2023,"(30,60]",620103,ALTA RESPUESTA,0.425082011,
2022/2023,"(30,60]",620103,BAJA RESPUESTA,0.388656263,
2022/2023,"(30,60]",620201,ALTA RESPUESTA,0.43785654,
2022/2023,"(30,60]",620201,BAJA RESPUESTA,0.419985221,
2022/2023,"(30,60]",620202,BAJA RESPUESTA,0.434159203,
2022/2023,"(30,60]",3360103,ALTA RESPUESTA,0.430525058,
2022/2023,"(30,60]",3360103,BAJA RESPUESTA,0.44474567,
2022/2023,"(30,60]",3540109,ALTA RESPUESTA,0.377105441,
2022/2023,"(30,60]",3540109,BAJA RESPUESTA,0.393759318,
